case_id,x,y
0.025,-85.0,0.33971
0.025,-80.0,0.45396
0.025,-75.0,0.64133
0.025,-70.0,0.85805
0.025,-65.0,1.07071
0.025,-60.0,1.24549
0.025,-55.0,1.37905
0.025,-50.0,1.46401
0.025,-45.0,1.49202
0.025,-40.0,1.46727
0.025,-35.0,1.39164
0.025,-30.0,1.27139
0.025,-25.0,1.11133
0.025,-20.0,0.92689
0.025,-15.0,0.70738
0.025,-10.0,0.52933
0.025,-5.0,0.42353
0.025,0.0,0.39137
0.025,5.0,0.4228
0.025,10.0,0.5268
0.025,15.0,0.70438
0.025,20.0,0.92223
0.025,25.0,1.10806
0.025,30.0,1.27139
0.025,35.0,1.3939
0.025,40.0,1.46701
0.025,45.0,1.49164
0.025,50.0,1.45795
0.025,55.0,1.37459
0.025,60.0,1.24602
0.025,65.0,1.08123
0.025,70.0,0.86331
0.025,75.0,0.64484
0.025,80.0,0.45536
0.025,85.0,0.34056
1.0,-85.0,0.73703
1.0,-80.0,0.72382
1.0,-75.0,0.83493
1.0,-70.0,0.92816
1.0,-65.0,0.99081
1.0,-60.0,1.1124
1.0,-55.0,1.14821
1.0,-50.0,1.17438
1.0,-45.0,1.18555
1.0,-40.0,1.16459
1.0,-35.0,1.13516
1.0,-30.0,1.09741
1.0,-25.0,1.06049
1.0,-20.0,0.97375
1.0,-15.0,0.8841
1.0,-10.0,0.82535
1.0,-5.0,0.7912
1.0,0.0,0.78707
1.0,5.0,0.79033
1.0,10.0,0.82476
1.0,15.0,0.88914
1.0,20.0,0.97409
1.0,25.0,1.05697
1.0,30.0,1.09894
1.0,35.0,1.13869
1.0,40.0,1.16659
1.0,45.0,1.18026
1.0,50.0,1.172
1.0,55.0,1.14534
1.0,60.0,1.11039
1.0,65.0,0.99273
1.0,70.0,0.93025
1.0,75.0,0.83735
1.0,80.0,0.72035
1.0,85.0,0.74434
2.0,-85.0,0.80047
2.0,-80.0,0.76263
2.0,-75.0,0.86594
2.0,-70.0,0.95179
2.0,-65.0,1.01918
2.0,-60.0,1.08469
2.0,-55.0,1.12904
2.0,-50.0,1.15221
2.0,-45.0,1.16265
2.0,-40.0,1.14195
2.0,-35.0,1.11446
2.0,-30.0,1.0797
2.0,-25.0,1.03662
2.0,-20.0,0.99601
2.0,-15.0,0.90895
2.0,-10.0,0.84773
2.0,-5.0,0.8143
2.0,0.0,0.80951
2.0,5.0,0.8131
2.0,10.0,0.84699
2.0,15.0,0.91092
2.0,20.0,0.99447
2.0,25.0,1.03329
2.0,30.0,1.0813
2.0,35.0,1.11838
2.0,40.0,1.14415
2.0,45.0,1.15735
2.0,50.0,1.15001
2.0,55.0,1.12631
2.0,60.0,1.08356
2.0,65.0,1.02217
2.0,70.0,0.95412
2.0,75.0,0.86773
2.0,80.0,0.7593
2.0,85.0,0.80704
