case_id,x,y
0.025,0.01,0.0333
0.025,0.02,0.05384
0.025,0.03,0.08603
0.025,0.04,0.1038
0.025,0.05,0.12655
0.025,0.06,0.14376
0.025,0.07,0.15653
0.025,0.08,0.1754
0.025,0.09,0.17984
0.025,0.12,0.18576
0.025,0.13,0.18739
0.025,0.14,0.18798
0.025,0.15,0.19094
0.025,0.16,0.19427
0.025,0.17,0.19538
0.025,0.18,0.20315
0.025,0.19,0.20593
0.025,0.2,0.21181
0.025,0.21,0.21592
0.025,0.22,0.23091
0.025,0.23,0.23257
0.025,0.24,0.23535
0.025,0.25,0.25163
0.025,0.26,0.25755
0.025,0.27,0.26954
0.025,0.28,0.27753
0.025,0.29,0.29474
0.025,0.3,0.30306
0.025,0.31,0.32527
0.025,0.32,0.33137
0.025,0.33,0.34414
0.025,0.34,0.36135
0.025,0.35,0.38521
0.025,0.36,0.39298
0.025,0.37,0.41685
0.025,0.38,0.43128
0.025,0.39,0.44683
0.025,0.4,0.48124
0.025,0.41,0.49882
0.025,0.42,0.5212
0.025,0.43,0.53786
0.025,0.44,0.55839
0.025,0.45,0.58837
0.025,0.46,0.61427
0.025,0.47,0.63854
0.025,0.48,0.65941
0.025,0.49,0.69327
0.025,0.5,0.71881
0.025,0.51,0.74767
0.025,0.52,0.76932
0.025,0.53,0.79559
0.025,0.54,0.82682
0.025,0.55,0.86312
0.025,0.56,0.88643
0.025,0.57,0.92362
0.025,0.58,0.94083
0.025,0.59,0.97691
0.025,0.6,1.00244
0.025,0.61,1.04263
0.025,0.62,1.05018
0.025,0.63,1.10124
0.025,0.64,1.13344
0.025,0.65,1.16119
0.025,0.66,1.19061
0.025,0.67,1.22247
0.025,0.68,1.26554
0.025,0.69,1.29052
0.025,0.7,1.3216
0.025,0.71,1.34603
0.025,0.72,1.38377
0.025,0.73,1.41541
0.025,0.74,1.44494
0.025,0.75,1.48035
0.025,0.76,1.51587
0.025,0.77,1.55528
0.025,0.78,1.58082
0.025,0.79,1.60857
0.025,0.8,1.63133
0.025,0.81,1.66019
0.025,0.82,1.69516
0.025,0.83,1.7329
0.025,0.84,1.75844
0.025,0.85,1.78786
0.025,0.86,1.81117
0.025,0.87,1.83097
0.025,0.88,1.85835
0.025,0.89,1.89887
0.025,0.9,1.92274
0.025,0.91,1.9442
0.025,0.92,1.97158
0.025,0.93,1.99526
0.025,0.94,2.01554
0.025,0.95,2.03597
0.025,0.96,2.06428
0.025,0.97,2.08185
0.025,0.98,2.11312
0.025,0.99,2.12866
0.025,1.0,2.1431
0.025,1.01,2.16622
0.025,1.02,2.17584
0.025,1.03,2.20471
0.025,1.04,2.2147
0.025,1.05,2.23024
0.025,1.06,2.2369
0.025,1.07,2.25522
0.025,1.08,2.26169
0.025,1.09,2.27798
0.025,1.1,2.2863
0.025,1.11,2.29407
0.025,1.12,2.30018
0.025,1.13,2.31128
0.025,1.14,2.31128
0.025,1.15,2.3135
0.025,1.16,2.3172
0.025,1.17,2.31572
0.025,1.18,2.31572
0.025,1.21,2.31572
0.025,1.22,2.31498
0.025,1.23,2.30906
0.025,1.24,2.30795
0.025,1.25,2.30184
0.025,1.26,2.29629
0.025,1.27,2.29574
0.025,1.28,2.27575
0.025,1.29,2.26983
0.025,1.3,2.25281
0.025,1.31,2.24689
0.025,1.32,2.23135
0.025,1.33,2.22247
0.025,1.34,2.19749
0.025,1.35,2.19139
0.025,1.36,2.1603
0.025,1.37,2.14087
0.025,1.38,2.127
0.025,1.39,2.09813
0.025,1.4,2.08093
0.025,1.41,2.04663
0.025,1.42,2.02209
0.025,1.43,1.98786
0.025,1.44,1.96437
0.025,1.45,1.93106
0.025,1.46,1.90664
0.025,1.47,1.86556
0.025,1.48,1.82682
0.025,1.49,1.79396
0.025,1.5,1.75067
0.025,1.51,1.71292
0.025,1.52,1.67462
0.025,1.53,1.62744
0.025,1.54,1.58581
0.025,1.55,1.53375
0.025,1.56,1.47813
0.025,1.57,1.42706
0.025,1.58,1.37433
0.025,1.59,1.32105
0.025,1.6,1.26943
0.025,1.61,1.2056
0.025,1.62,1.14432
0.025,1.63,1.06017
0.025,1.64,1.00577
0.025,1.65,0.93084
0.025,1.66,0.86201
0.025,1.67,0.78264
0.025,1.68,0.68606
0.025,1.69,0.5978
0.025,1.7,0.50289
0.025,1.71,0.40575
0.025,1.72,0.31417
1.0,0.04,0.71881
1.0,0.05,0.77709
1.0,0.07,0.84458
1.0,0.08,0.87478
1.0,0.09,0.877
1.0,0.12,0.88662
1.0,0.13,0.8881
1.0,0.14,0.8881
1.0,0.15,0.89254
1.0,0.16,0.89032
1.0,0.17,0.89254
1.0,0.18,0.89254
1.0,0.19,0.89476
1.0,0.2,0.89587
1.0,0.21,0.90068
1.0,0.23,0.90586
1.0,0.25,0.90975
1.0,0.27,0.91696
1.0,0.28,0.92362
1.0,0.29,0.92362
1.0,0.3,0.9325
1.0,0.31,0.9325
1.0,0.32,0.93917
1.0,0.33,0.93917
1.0,0.34,0.94805
1.0,0.35,0.95915
1.0,0.36,0.95915
1.0,0.37,0.96692
1.0,0.38,0.96581
1.0,0.39,0.97469
1.0,0.4,0.97691
1.0,0.41,0.98653
1.0,0.42,0.99467
1.0,0.43,0.99393
1.0,0.44,1.00133
1.0,0.45,1.00355
1.0,0.46,1.01021
1.0,0.47,1.01243
1.0,0.55,1.06905
1.0,0.57,1.0783
1.0,0.58,1.0857
1.0,0.59,1.08792
1.0,0.6,1.0968
1.0,0.61,1.09569
1.0,0.62,1.10198
1.0,0.64,1.11456
1.0,0.66,1.12493
1.0,0.67,1.13344
1.0,0.68,1.13455
1.0,0.69,1.14491
1.0,0.7,1.14121
1.0,0.71,1.15231
1.0,0.73,1.16341
1.0,0.74,1.17229
1.0,0.75,1.17229
1.0,0.76,1.18413
1.0,0.77,1.18339
1.0,0.78,1.19375
1.0,0.8,1.20337
1.0,0.81,1.21226
1.0,0.82,1.21226
1.0,0.83,1.22003
1.0,0.84,1.22114
1.0,0.85,1.23076
1.0,0.86,1.2278
1.0,0.87,1.23668
1.0,0.88,1.24556
1.0,0.89,1.24556
1.0,0.9,1.25666
1.0,0.91,1.25666
1.0,0.92,1.26221
1.0,0.93,1.2611
1.0,0.94,1.26998
1.0,0.96,1.27775
1.0,0.97,1.28552
1.0,0.98,1.28478
1.0,0.99,1.28996
1.0,1.0,1.29144
1.0,1.01,1.2944
1.0,1.02,1.2944
1.0,1.03,1.30181
1.0,1.04,1.30107
1.0,1.05,1.30773
1.0,1.07,1.30995
1.0,1.08,1.31439
1.0,1.09,1.31439
1.0,1.1,1.31661
1.0,1.11,1.31661
1.0,1.12,1.31994
1.0,1.13,1.32105
1.0,1.14,1.32253
1.0,1.15,1.32327
1.0,1.16,1.32327
1.0,1.18,1.32327
1.0,1.21,1.32327
1.0,1.22,1.32327
1.0,1.23,1.32105
1.0,1.24,1.32105
1.0,1.25,1.31883
1.0,1.26,1.31883
1.0,1.27,1.31439
1.0,1.28,1.31439
1.0,1.29,1.31291
1.0,1.31,1.30995
1.0,1.33,1.30403
1.0,1.34,1.30107
1.0,1.35,1.30107
1.0,1.36,1.29218
1.0,1.37,1.29218
1.0,1.38,1.28626
1.0,1.39,1.28774
1.0,1.4,1.27886
1.0,1.41,1.26998
1.0,1.42,1.27072
1.0,1.43,1.2611
1.0,1.44,1.26332
1.0,1.45,1.25111
1.0,1.46,1.25
1.0,1.47,1.24186
1.0,1.48,1.23002
1.0,1.49,1.23076
1.0,1.51,1.21781
1.0,1.52,1.20485
1.0,1.53,1.2056
1.0,1.54,1.19116
1.0,1.55,1.17673
1.0,1.56,1.17673
1.0,1.57,1.16045
1.0,1.58,1.16119
1.0,1.59,1.14565
1.0,1.6,1.12567
1.0,1.61,1.12678
1.0,1.62,1.10735
1.0,1.63,1.0894
1.0,1.64,1.08792
1.0,1.65,1.07016
1.0,1.68,0.98468
1.0,1.69,0.95767
1.0,1.7,0.91752
1.0,1.71,0.86479
2.0,0.03,0.73546
2.0,0.04,0.81428
2.0,0.05,0.86146
2.0,0.06,0.89087
2.0,0.07,0.9143
2.0,0.08,0.92862
2.0,0.09,0.93472
2.0,0.12,0.94139
2.0,0.13,0.94183
2.0,0.14,0.94361
2.0,0.15,0.94361
2.0,0.16,0.94361
2.0,0.17,0.94527
2.0,0.18,0.94583
2.0,0.19,0.94638
2.0,0.2,0.94805
2.0,0.21,0.95027
2.0,0.22,0.95249
2.0,0.23,0.95249
2.0,0.24,0.95415
2.0,0.25,0.95693
2.0,0.26,0.9597
2.0,0.27,0.96137
2.0,0.28,0.96525
2.0,0.29,0.96803
2.0,0.3,0.97025
2.0,0.31,0.97413
2.0,0.32,0.97469
2.0,0.33,0.97746
2.0,0.34,0.98224
2.0,0.35,0.98524
2.0,0.36,0.98857
2.0,0.37,0.9919
2.0,0.38,0.99523
2.0,0.39,0.99745
2.0,0.4,1.00133
2.0,0.41,1.00577
2.0,0.42,1.0091
2.0,0.43,1.01243
2.0,0.44,1.01632
2.0,0.45,1.01965
2.0,0.46,1.02353
2.0,0.47,1.02709
2.0,0.48,1.03186
2.0,0.49,1.03464
2.0,0.5,1.03963
2.0,0.51,1.0413
2.0,0.52,1.04629
2.0,0.53,1.04907
2.0,0.54,1.05329
2.0,0.55,1.05684
2.0,0.56,1.06239
2.0,0.57,1.06405
2.0,0.58,1.06794
2.0,0.59,1.07183
2.0,0.6,1.07627
2.0,0.61,1.08037
2.0,0.62,1.08459
2.0,0.63,1.0857
2.0,0.64,1.09125
2.0,0.65,1.09458
2.0,0.66,1.09736
2.0,0.67,1.10169
2.0,0.68,1.10679
2.0,0.69,1.10846
2.0,0.7,1.11234
2.0,0.71,1.11512
2.0,0.72,1.12012
2.0,0.73,1.12289
2.0,0.74,1.12744
2.0,0.75,1.13066
2.0,0.76,1.1351
2.0,0.77,1.13843
2.0,0.78,1.14343
2.0,0.79,1.1462
2.0,0.8,1.14842
2.0,0.81,1.15187
2.0,0.82,1.15508
2.0,0.83,1.15952
2.0,0.84,1.1623
2.0,0.85,1.16619
2.0,0.86,1.16841
2.0,0.87,1.17229
2.0,0.88,1.17451
2.0,0.89,1.17784
2.0,0.9,1.18062
2.0,0.91,1.18339
2.0,0.92,1.18783
2.0,0.93,1.19005
2.0,0.94,1.19183
2.0,0.95,1.1956
2.0,0.96,1.19727
2.0,0.97,1.2006
2.0,0.98,1.20337
2.0,0.99,1.20504
2.0,1.0,1.2056
2.0,1.01,1.21004
2.0,1.02,1.21226
2.0,1.03,1.21448
2.0,1.04,1.21559
2.0,1.05,1.21836
2.0,1.06,1.21892
2.0,1.07,1.21892
2.0,1.08,1.21892
2.0,1.09,1.2228
2.0,1.1,1.22391
2.0,1.11,1.22558
2.0,1.12,1.22558
2.0,1.13,1.22558
2.0,1.14,1.22602
2.0,1.15,1.2278
2.0,1.16,1.2278
2.0,1.17,1.2278
2.0,1.18,1.22558
2.0,1.21,1.22558
2.0,1.22,1.22558
2.0,1.23,1.22558
2.0,1.24,1.22558
2.0,1.25,1.22558
2.0,1.26,1.22558
2.0,1.27,1.22336
2.0,1.28,1.22247
2.0,1.29,1.21892
2.0,1.3,1.21892
2.0,1.31,1.21892
2.0,1.32,1.21836
2.0,1.33,1.21559
2.0,1.34,1.21448
2.0,1.35,1.2127
2.0,1.36,1.21004
2.0,1.37,1.2056
2.0,1.38,1.20393
2.0,1.39,1.20226
2.0,1.4,1.19893
2.0,1.41,1.19627
2.0,1.42,1.19283
2.0,1.43,1.1895
2.0,1.44,1.18617
2.0,1.45,1.18117
2.0,1.46,1.1784
2.0,1.47,1.17507
2.0,1.48,1.17007
2.0,1.49,1.16619
2.0,1.5,1.16063
2.0,1.51,1.15619
2.0,1.52,1.1512
2.0,1.53,1.14676
2.0,1.54,1.14176
2.0,1.55,1.13366
2.0,1.56,1.129
2.0,1.57,1.12234
2.0,1.58,1.11512
2.0,1.59,1.10901
2.0,1.6,1.1018
2.0,1.61,1.09292
2.0,1.62,1.08481
2.0,1.63,1.07516
2.0,1.64,1.06461
2.0,1.65,1.05406
2.0,1.66,1.04241
2.0,1.67,1.02853
2.0,1.68,1.00977
2.0,1.69,0.9869
2.0,1.7,0.95915
2.0,1.71,0.91918
2.0,1.72,0.85258
