case_id,x,y
dns,-85.0,0.64949
dns,-84.0,0.65812
dns,-83.0,0.67331
dns,-82.0,0.68932
dns,-79.0,0.72229
dns,-76.0,0.8365
dns,-75.0,0.85789
dns,-74.0,0.87567
dns,-73.0,0.89458
dns,-72.0,0.91177
dns,-71.0,0.93049
dns,-70.0,0.94741
dns,-69.0,0.96307
dns,-68.0,0.97786
dns,-67.0,0.99152
dns,-66.0,1.00624
dns,-65.0,1.02198
dns,-64.0,1.03724
dns,-63.0,1.05338
dns,-62.0,1.06923
dns,-61.0,1.08509
dns,-60.0,1.09984
dns,-59.0,1.1102
dns,-58.0,1.11978
dns,-54.0,1.14694
dns,-53.0,1.15145
dns,-52.0,1.15699
dns,-51.0,1.16185
dns,-50.0,1.16672
dns,-49.0,1.17064
dns,-48.0,1.17402
dns,-47.0,1.17692
dns,-46.0,1.17971
dns,-45.0,1.18085
dns,-44.0,1.17853
dns,-43.0,1.17394
dns,-42.0,1.1697
dns,-41.0,1.16578
dns,-40.0,1.16447
dns,-38.0,1.15086
dns,-37.0,1.14458
dns,-36.0,1.13909
dns,-35.0,1.13301
dns,-34.0,1.12653
dns,-33.0,1.1175
dns,-32.0,1.10973
dns,-31.0,1.102
dns,-27.0,1.07159
dns,-26.0,1.06099
dns,-24.0,1.0394
dns,-23.0,1.03218
dns,-22.0,1.02355
dns,-21.0,1.019
dns,-20.0,1.00016
dns,-19.0,0.98289
dns,-18.0,0.96688
dns,-17.0,0.94639
dns,-16.0,0.92932
dns,-14.0,0.89733
dns,-13.0,0.88163
dns,-12.0,0.87614
dns,-10.0,0.83846
dns,-8.0,0.82433
dns,-7.0,0.82198
dns,-6.0,0.81308
dns,-5.0,0.80863
dns,-4.0,0.80863
dns,-3.0,0.80589
dns,-2.0,0.80675
dns,1.0,0.80628
dns,2.0,0.80628
dns,3.0,0.80628
dns,4.0,0.80565
dns,5.0,0.80487
dns,6.0,0.80706
dns,7.0,0.81825
dns,8.0,0.8263
dns,9.0,0.83234
dns,10.0,0.83866
dns,11.0,0.84474
dns,12.0,0.87732
dns,13.0,0.88619
dns,14.0,0.89831
dns,15.0,0.91224
dns,16.0,0.91892
dns,17.0,0.94914
dns,18.0,0.96327
dns,19.0,0.96876
dns,20.0,1.00879
dns,21.0,1.01252
dns,22.0,1.02009
dns,23.0,1.02429
dns,25.0,1.05275
dns,26.0,1.05667
dns,27.0,1.06907
dns,28.0,1.07865
dns,30.0,1.09592
dns,31.0,1.10181
dns,32.0,1.11005
dns,33.0,1.11711
dns,34.0,1.1283
dns,35.0,1.13458
dns,36.0,1.1438
dns,37.0,1.14694
dns,38.0,1.15322
dns,39.0,1.16185
dns,40.0,1.16311
dns,41.0,1.16436
dns,42.0,1.16695
dns,43.0,1.16813
dns,44.0,1.17075
dns,45.0,1.17206
dns,46.0,1.17166
dns,47.0,1.17049
dns,48.0,1.16892
dns,49.0,1.16918
dns,50.0,1.16028
dns,51.0,1.16499
dns,52.0,1.15204
dns,53.0,1.14851
dns,56.0,1.13516
dns,57.0,1.12516
dns,58.0,1.11476
dns,59.0,1.10581
dns,60.0,1.09572
dns,61.0,1.08367
dns,62.0,1.07002
dns,63.0,1.05667
dns,64.0,1.04352
dns,65.0,1.02998
dns,66.0,1.01468
dns,67.0,0.99922
dns,68.0,0.98477
dns,69.0,0.96837
dns,70.0,0.95275
dns,71.0,0.9354
dns,72.0,0.91821
dns,73.0,0.90067
dns,74.0,0.88713
dns,77.0,0.77593
dns,78.0,0.75552
dns,79.0,0.7113
dns,80.0,0.70215
dns,83.0,0.67284
dns,84.0,0.66224
dns,85.0,0.6542
