case_id,x,y
0,1.0,0.83904
0,1.05925,0.86901
0,1.12202,0.94749
0,1.1885,0.95034
0,1.25893,1.07877
0,1.33352,1.09589
0,1.41254,1.23043
0,1.49624,1.29281
0,1.58489,1.37842
0,1.6788,1.56393
0,1.77828,1.56678
0,1.88365,1.76655
0,1.99526,1.8379
0,2.11349,1.96918
0,2.23872,2.14041
0,2.37137,2.16182
0,2.51189,2.33162
0,2.66073,2.46918
0,2.81838,2.54281
0,2.98538,2.7774
0,3.16228,2.84247
0,3.34965,3.03368
0,3.54813,3.29452
0,3.75837,3.45605
0,3.98107,3.67123
0,4.21697,3.92409
0,4.46684,4.17123
0,4.73151,4.34589
0,5.01187,4.5234
0,5.30884,4.79452
0,5.62341,5.10274
0,5.95662,5.38813
0,6.30957,5.73141
0,6.68344,5.97888
0,7.07946,6.25
0,7.49894,6.52968
0,7.94328,6.89824
0,8.41395,7.28025
0,8.91251,7.56849
0,9.44061,7.89384
0,10.0,8.25913
0,10.59254,8.61587
0,11.22018,8.94814
0,11.88502,9.29795
0,12.58925,9.65183
0,13.33521,10.0318
0,14.12538,10.3282
0,14.96236,10.67066
0,15.84893,10.96747
0,16.78804,11.2818
0,17.78279,11.59247
0,18.83649,11.90068
0,19.95262,12.182
0,21.13489,12.48288
0,22.38721,12.69692
0,23.71374,12.92808
0,25.11886,13.17066
0,26.60725,13.46233
0,28.18383,13.66438
0,29.85383,13.81849
0,31.62278,14.03253
0,33.49654,14.24315
0,35.48134,14.36216
0,37.58374,14.54053
0,39.81072,14.77312
0,42.16965,14.79024
0,44.66836,14.97717
0,47.31513,15.02283
0,50.11872,15.13699
0,53.08844,15.25114
0,56.23413,15.25685
15,1.0,0.89194
15,1.05925,0.92624
15,1.12202,1.0506
15,1.1885,1.0506
15,1.25893,1.17782
15,1.33352,1.16638
15,1.41254,1.3183
15,1.49624,1.4837
15,1.58489,1.49228
15,1.6788,1.6681
15,1.77828,1.73928
15,1.88365,1.83819
15,1.99526,1.93825
15,2.11349,1.99216
15,2.23872,2.18982
15,2.37137,2.20412
15,2.51189,2.3928
15,2.66073,2.50429
15,2.81838,2.61578
15,2.98538,2.8542
15,3.16228,2.93739
15,3.34965,3.13322
15,3.54813,3.41338
15,3.75837,3.63146
15,3.98107,3.79074
15,4.21697,3.97084
15,4.46684,4.24014
15,4.73151,4.3968
15,5.01187,4.6175
15,5.30884,4.91791
15,5.62341,5.26301
15,5.95662,5.56318
15,6.30957,5.86049
15,6.68344,6.07204
15,7.07946,6.35792
15,7.49894,6.68954
15,7.94328,7.06935
15,8.41395,7.43854
15,8.91251,7.73871
15,9.44061,8.05685
15,10.0,8.42196
15,10.59254,8.78788
15,11.22018,9.16442
15,11.88502,9.4797
15,12.58925,9.80274
15,13.33521,10.19848
15,14.12538,10.59748
15,14.96236,10.82047
15,15.84893,11.0749
15,16.78804,11.41632
15,17.78279,11.7267
15,18.83649,11.94111
15,19.95262,12.31071
15,21.13489,12.57004
15,22.38721,12.85306
15,23.71374,13.06052
15,25.11886,13.31046
15,26.60725,13.48199
15,28.18383,13.66381
15,29.85383,13.89651
15,31.62278,14.04517
15,33.49654,14.22813
15,35.48134,14.34534
15,37.58374,14.61121
15,39.81072,14.69983
15,42.16965,14.74786
15,44.66836,14.96569
15,47.31513,15.08148
15,50.11872,15.19726
15,53.08844,15.39966
15,56.23413,15.46884
15,59.56621,15.49914
15,63.09573,15.67753
15,66.83439,15.75758
15,70.79458,15.84906
15,74.98942,15.86621
15,79.43282,15.88336
15,84.13951,15.99314
15,89.12509,16.05489
45,1.0,0.87907
45,1.05925,0.92732
45,1.12202,1.03631
45,1.1885,1.0506
45,1.25893,1.17496
45,1.33352,1.18997
45,1.41254,1.31504
45,1.49624,1.38293
45,1.58489,1.44368
45,1.6788,1.51158
45,1.77828,1.6295
45,1.88365,1.80103
45,1.99526,1.80103
45,2.11349,1.99828
45,2.23872,2.09405
45,2.37137,2.24057
45,2.51189,2.46569
45,2.66073,2.55146
45,2.81838,2.86592
45,2.98538,2.98456
45,3.16228,3.03173
45,3.34965,3.28045
45,3.54813,3.29653
45,3.75837,3.56632
45,3.98107,3.78431
45,4.21697,3.87221
45,4.46684,4.18811
45,4.73151,4.39108
45,5.01187,4.61407
45,5.30884,4.8977
45,5.62341,5.28874
45,5.95662,5.62822
45,6.30957,5.85692
45,6.68344,6.02058
45,7.07946,6.36435
45,7.49894,6.5952
45,7.94328,6.75386
45,8.41395,7.52573
45,8.91251,7.5829
45,9.44061,7.98313
45,10.0,8.3512
45,10.59254,8.58705
45,11.22018,8.81524
45,11.88502,9.09091
45,12.58925,9.49114
45,13.33521,9.91791
45,14.12538,10.19297
45,14.96236,10.33019
45,15.84893,10.63107
45,16.78804,10.99557
45,17.78279,11.3279
45,18.83649,11.47084
45,19.95262,11.6975
45,21.13489,12.03259
45,22.38721,12.22484
45,23.71374,12.40566
45,25.11886,12.66295
45,26.60725,12.82697
45,28.18383,12.98957
45,29.85383,13.24507
45,31.62278,13.27902
45,33.49654,13.51844
45,35.48134,13.79074
45,37.58374,13.83648
45,39.81072,14.09949
45,42.16965,14.22599
45,44.66836,14.36535
45,47.31513,14.62979
