case_id,x,y
uu,0.03,1.10489
uu,0.04,1.36973
uu,0.05,1.5769
uu,0.06,1.78331
uu,0.07,1.93318
uu,0.08,2.05801
uu,0.09,2.15135
uu,0.12,2.20067
uu,0.13,2.20637
uu,0.14,2.20523
uu,0.15,2.19498
uu,0.16,2.15514
uu,0.17,2.15135
uu,0.18,2.14755
uu,0.19,2.10202
uu,0.2,2.08495
uu,0.21,2.06408
uu,0.22,2.03752
uu,0.23,1.9882
uu,0.24,1.97871
uu,0.25,1.96543
uu,0.26,1.90219
uu,0.27,1.8774
uu,0.28,1.84591
uu,0.29,1.82884
uu,0.3,1.76813
uu,0.31,1.74726
uu,0.33,1.68921
uu,0.34,1.6562
uu,0.35,1.62774
uu,0.36,1.62015
uu,0.37,1.57462
uu,0.38,1.56134
uu,0.39,1.51771
uu,0.4,1.51391
uu,0.41,1.49191
uu,0.42,1.47218
uu,0.43,1.46459
uu,0.44,1.43613
uu,0.45,1.42664
uu,0.46,1.39629
uu,0.47,1.3906
uu,0.48,1.37922
uu,0.49,1.37049
uu,0.5,1.35835
uu,0.51,1.34696
uu,0.52,1.33255
uu,0.53,1.32799
uu,0.54,1.31282
uu,0.55,1.30067
uu,0.56,1.29574
uu,0.57,1.28815
uu,0.58,1.27487
uu,0.59,1.26728
uu,0.6,1.2597
uu,0.61,1.24452
uu,0.62,1.23693
uu,0.63,1.22934
uu,0.64,1.22175
uu,0.65,1.21417
uu,0.66,1.19899
uu,0.67,1.1933
uu,0.68,1.16863
uu,0.69,1.17243
uu,0.7,1.16105
uu,0.71,1.14739
uu,0.72,1.14587
uu,0.73,1.1231
uu,0.74,1.11855
uu,0.75,1.11551
uu,0.76,1.08516
uu,0.77,1.0715
uu,0.78,1.0605
uu,0.79,1.05228
uu,0.8,1.02066
uu,0.81,1.02255
uu,0.82,1.01686
uu,0.83,0.98651
uu,0.84,0.97513
uu,0.85,0.95919
uu,0.86,0.94477
uu,0.88,0.92011
uu,0.89,0.90051
uu,0.9,0.87648
uu,0.91,0.86699
uu,0.92,0.84992
uu,0.93,0.83777
uu,0.95,0.80818
uu,0.96,0.7911
uu,0.97,0.75885
uu,0.98,0.75885
uu,0.99,0.74178
uu,1.0,0.73419
uu,1.01,0.7285
uu,1.02,0.70573
uu,1.03,0.69625
uu,1.04,0.69815
uu,1.05,0.66969
uu,1.06,0.6602
uu,1.07,0.65261
uu,1.08,0.64503
uu,1.09,0.62226
uu,1.1,0.62226
uu,1.11,0.61088
uu,1.12,0.60202
uu,1.13,0.59949
uu,1.14,0.59949
uu,1.15,0.59494
uu,1.17,0.5938
uu,1.18,0.59001
uu,1.21,0.58621
uu,1.22,0.5938
uu,1.23,0.58811
uu,1.24,0.60455
uu,1.25,0.59949
uu,1.26,0.60708
uu,1.27,0.62226
uu,1.28,0.62795
uu,1.29,0.64199
uu,1.3,0.65514
uu,1.31,0.67159
uu,1.32,0.67728
uu,1.33,0.68676
uu,1.34,0.71838
uu,1.35,0.7247
uu,1.36,0.73988
uu,1.37,0.76341
uu,1.38,0.80438
uu,1.39,0.8059
uu,1.4,0.81197
uu,1.41,0.86256
uu,1.42,0.87875
uu,1.43,0.90493
uu,1.44,0.9296
uu,1.45,0.98651
uu,1.46,0.99599
uu,1.47,1.01307
